scheme_id;dev_id;developer;slug;zhk;klass;tip;opisanie;stavka;srok;pv;vvod;skidka_100;ogranicheniya;source;deystvuet;checked
s011;donstroy;Донстрой;ostrov;Остров;бизнес/премиум;drugoe;Рассрочка со скидкой: ПВ 60% даёт −10%, остаток ежеквартально до 25.03.2028, без страховки и проверки дохода;0%, −10%;до 25.03.2028;60%;—;−10% в рассрочке;—;https://www.novostroy-m.ru/baza/jk_ostrov;до 30.09.2026;20.09.2026
s012;donstroy;Донстрой;;Остров, Событие, Река, Начало;бизнес/премиум;skidka_100;«Золотые скидки осени» при 100% оплате и ипотеке без субсидии;—;до 30.09.2026;—;последние очереди;до 12%;ограниченный пул;https://www.novostroy-m.ru/kompanii/donstroy/akcii;до 30.09.2026;20.09.2026
s013;donstroy;Донстрой;;Все проекты;бизнес/премиум;rassrochka_bez_udor;Базовая рассрочка: ПВ от 10%, до 50% остатка, без проверки дохода и КИ, переход в ипотеку;0%;нет данных;от 10%;—;—;—;https://donstroy.moscow/mortgage/;проверено 20.09.2026;20.09.2026
s014;donstroy;Донстрой;;Все проекты;бизнес/премиум;trade_in;«Новая квартира взамен старой»: цена фиксируется, оценка за 3 дня;—;—;—;—;—;—;https://donstroy.moscow/mortgage/;проверено 20.09.2026;20.09.2026
s015;mr-group;MR Group;;Джойс;премиум;subsid_ipoteka;Ставка на первые 2 года, студия 23,8 млн — платёж 109,5 тыс/мес;5,7% на 2 года;2 года;нет данных;—;—;с октября программу могут закрыть;https://t.me/s/mrgroupbro;сентябрь 2026;20.09.2026
s016;mr-group;MR Group;;Симфония 34;премиум;skidka_100;−15% на готовые квартиры при 100% оплате или ипотеке без субсидии (38,5 → 32,7 млн);—;до 30.09.2026;—;после ввода;15% (по агрегатору до 5%);выбранные лоты;https://t.me/s/mrgroupbro;сентябрь 2026;20.09.2026
s017;mr-group;MR Group;;Симфония 34;премиум;rassrochka_bez_udor;0%, ежемесячно или ежеквартально, дома сданы;0%;до 1 года;нет данных;после ввода;—;—;https://www.novostroy-m.ru/baza/jk_symphony_34_simfoniya;до 30.09.2026;20.09.2026
s018;mr-group;MR Group;mod;MOD;премиум;skidka_100;−15% на пул квартир;—;до 30.09.2026;—;после ввода;15%;пул квартир;https://www.novostroy-m.ru/baza/jk_mod;до 30.09.2026;20.09.2026
s019;mr-group;MR Group;mod;MOD;премиум;trade_in;Trade-in как способ покупки;—;—;—;—;—;условия не раскрыты;https://www.novostroy-m.ru/baza/jk_mod;проверено 20.09.2026;20.09.2026
s020;mr-group;MR Group;;Мыс;бизнес;rassrochka_bez_udor;Фиксированный платёж по комнатности: 80/120/140/180 тыс/мес, скидки до 3,5%;0%, −3,5%;12/18/22 мес;25/30/35%;до ввода;—;—;https://t.me/s/mrgroupbro;сентябрь 2026;20.09.2026
s021;mr-group;MR Group;;СЕТ, Веер;бизнес;drugoe;Комбо-ипотека: семейная + рыночная двумя договорами, СЕТ 30,8 млн: ПВ 6,2 млн, 72 + 191 тыс/мес;—;30 и 19 лет;~20%;—;—;семьи с детьми;https://t.me/s/mrgroupbro;сентябрь 2026;20.09.2026
s022;sminex;Sminex;;Life Time;премиум;rassrochka_bez_udor;До февраля 2028, большая часть платежей после ключей (сдан летом 2026);0%;до 20 мес;от 30%;в основном после ввода;—;—;https://dvizhenie.ru/media/6909/sminex-zapustil-vygodnuiu-rassrochku-dlia-premialnykh-domov-v-moskve;2026;20.09.2026
s023;sminex;Sminex;tishinskiy-bulvar;Тишинский бульвар;элит;rassrochka_s_udor;Рассрочка под проценты;9% годовых;1 год;нет данных;—;—;—;https://www.novostroy-m.ru/baza/elektricheskiy_per_vl1;20.09.2026;20.09.2026
s024;sminex;Sminex;;Foriver (готовые);бизнес;rassrochka_bez_udor;0% на готовые квартиры;0%;до 9 мес;от 30%;после ввода;—;данные ноября 2025;https://www.sminex.com/foriver/novosti/rassrochka-0;26.11.2025;20.09.2026
s025;forma;Forma;;Все проекты;бизнес/премиум;subsid_ipoteka;Ставка на первые 2 года;4,9%;2 года;нет данных;—;—;подробности не раскрыты;https://forma.ru/;проверено 20.09.2026;20.09.2026
s026;forma;Forma;;Все проекты;бизнес/премиум;rassrochka_bez_udor;Рассрочка 0%;0%;до 24 мес;от 20%;—;—;—;https://forma.ru/market/purchase-terms/installment;проверено 20.09.2026;20.09.2026
s027;forma;Forma;;Все проекты (Pave и др.);бизнес/премиум;skidka_100;Скидка при 100% оплате или ипотеке без субсидии;—;—;—;—;до 25% (Pave до 18%);ограниченное предложение;https://forma.ru/;проверено 20.09.2026;20.09.2026
s028;forma;Forma;;Моментс, 2-я очередь;бизнес;rassrochka_bez_udor;Рассрочка на 4 месяца с выгодой 10%, переход в ипотеку;0%, −10%;4 мес;от 30%;до ввода;—;только 2-я очередь;https://www.novostroy-m.ru/baza/moments_moments;до 30.09.2026;20.09.2026
s029;forma;Forma;;SOUL;бизнес;rassrochka_s_udor;Рассрочка под проценты, переход в ипотеку;4%;6 мес;от 20%;—;—;—;https://www.novostroy-m.ru/kompanii/forma/akcii;проверено 20.09.2026;20.09.2026
s030;gk-granel;Гранель;;9 проектов (Тринити, Мневники, Павелецкая и др.);бизнес;transh_ipoteka;Траншевая Сбера: первый транш от 100 тыс, символические платежи год, второй транш в течение 12 мес;от 17,7% (ПСК 24–29,9%);12 мес;от 20,1%;до ввода;—;—;https://granelle.ru/specials/transhevaya-ipoteka;с 01.04.2025;20.09.2026
s031;gk-granel;Гранель;;15+ проектов;бизнес;subsid_ipoteka;Ставка Альфа-Банка на весь срок;13,89%;весь срок, 11–30 лет;от 20,1%;любой;—;кредит 0,6–50 млн;https://granelle.ru/specials/ipoteka-1389-br-na-ves-srok;проверено 20.09.2026;20.09.2026
s032;gk-granel;Гранель;;Тринити, Нижегородская, Притяжение Сити и др.;бизнес;rassrochka_s_udor;Отсрочка 1–3 мес после взноса, через год остаток можно в ипотеку;+1% к цене;до 1 года;небольшой;до ввода;—;ограниченный пул;https://granelle.ru/specials/rassrochka-0-do-2-let;до 30.09.2026;20.09.2026
s033;gk-granel;Гранель;;Коллекция избранных;бизнес;drugoe;Скидка на избранные лоты, способ оплаты не указан;—;до 30.09.2026;—;—;до 25%;только коллекция;https://granelle.ru/specials/maksimalnaya-vygoda;до 30.09.2026;20.09.2026
s034;gk-osnova;ГК Основа;;Все проекты;бизнес;rassrochka_bez_udor;Рассрочка 0%, отдельный вариант с ПВ 5%;0%;нет данных;от 5%;—;—;—;https://gk-osnova.ru/varianty-pokupki;проверено 20.09.2026;20.09.2026
s035;gk-osnova;ГК Основа;;Апартаменты;бизнес;drugoe;Лизинг апартаментов;—;до 120 мес;аванс от 20%;—;—;только апартаменты;https://gk-osnova.ru/varianty-pokupki;проверено 20.09.2026;20.09.2026
s036;gk-osnova;ГК Основа;;Все проекты;бизнес;trade_in;Обмен имеющейся недвижимости;—;—;—;—;—;детали в офисе;https://gk-osnova.ru/varianty-pokupki;проверено 20.09.2026;20.09.2026
s037;pik;ПИК;;Все проекты (в т.ч. Кутузовский квартал);бизнес;subsid_ipoteka;«5% на 2 года», банк ДОМ.РФ, дальше 17,3%;5% на 2 года;2 года, кредит 3–30 лет;от 20,01%;любой;—;кредит 0,5–50 млн;https://www.novostroy-m.ru/kompanii/pik_gk/akcii;07.07.2026;20.09.2026
s038;pik;ПИК;;Все проекты;бизнес;subsid_ipoteka;Альфа-Банк, ставка на весь срок;12,39%;весь срок, 11–15 лет;от 20,1%;любой;—;кредит 0,6–50 млн;https://www.novostroy-m.ru/kompanii/pik_gk/akcii;07.07.2026;20.09.2026
s039;stenoy;STENOY;;Artel;бизнес;rassrochka_bez_udor;График 10/20/30/40: 10% сразу, 20% через 3 мес, 30% до 01.02.2027, остаток до 01.03.2027;0%;до 01.03.2027;от 10%;до ввода;—;сайт агента, не застройщика;https://domartel.ru/purchase-terms;2026;20.09.2026
s040;stenoy;STENOY;scala;Scala;бизнес;drugoe;Скоро старт продаж, сдача 2 кв. 2028 — условий пока нет;—;—;—;—;—;продажи не открыты;https://www.novostroy-m.ru/baza/jk_gavrikova_11;20.09.2026;20.09.2026
s041;guta-development;ГУТА;krasnyy-oktyabr;Красный Октябрь;элит;rassrochka_bez_udor;Беспроцентная рассрочка (со слов агентства), в продаже ~1 лот от 309 млн;0%;нет данных;нет данных;до ввода (3 кв. 2026);—;—;https://whitewill.ru/krasnyy-oktyabr;проверено 20.09.2026;20.09.2026
s042;hutton-development;Hutton;;Lunar;премиум;rassrochka_bez_udor;Рассрочка 0% на 9 месяцев;0%;9 мес;от 25%;после ввода;—;—;https://www.novostroy-m.ru/baza/jk_lunar_lunar;19.09.2026;20.09.2026
s043;hutton-development;Hutton;;Lunar;премиум;drugoe;−12% на оставшиеся квартиры, способ оплаты не уточнён;−12%;до 30.09.2026;—;после ввода;—;ограниченный пул;https://zhk-lunar-i.cian.ru/;20.09.2026;20.09.2026
s044;gals-development;Галс-Девелопмент;kosmo-4-22;Космо 4/22;элит;rassrochka_bez_udor;Беспроцентная рассрочка, параметры по запросу;0%;нет данных;нет данных;—;—;—;https://www.novostroy-m.ru/baza/apartotel_kosmo_422;13.09.2026;20.09.2026
s045;capital-group;Capital Group;masters;Мастерс;премиум;rassrochka_bez_udor;Рассрочка 0% до 3 лет;0%;до 3 лет;от 20%;до ввода (к.1 — 4 кв. 2029);—;—;https://www.novostroy-m.ru/baza/jk_na_ul_viktorenko;20.09.2026;20.09.2026
s046;capital-group;Capital Group;masters;Мастерс;премиум;transh_ipoteka;Траншевая ипотека заявлена;нет данных;—;—;до ввода;—;параметры не раскрыты;https://www.novostroy-m.ru/baza/jk_na_ul_viktorenko;20.09.2026;20.09.2026
s047;capital-group;Capital Group;;Все проекты;премиум;trade_in;Trade-in в способах покупки;—;—;—;—;—;параметры не раскрыты;https://cg-projects.ru/;20.09.2026;20.09.2026
s048;capital-group;Capital Group;;Capital Towers;премиум;rassrochka_bez_udor;«Ключи после оплаты первоначального взноса»;нет данных;—;—;после ввода;—;параметры не раскрыты;https://capitaltowers.ru/;20.09.2026;20.09.2026
s049;;Инград;;Все проекты (Foriver, TopHills и др.);бизнес;subsid_ipoteka;«Ипотека 0,01% от застройщика»;0,01%;нет данных;нет данных;—;—;детали не раскрыты;https://www.ingrad.ru/mortgage;20.09.2026;20.09.2026
s050;;Инград;;Все проекты;бизнес;rassrochka_bez_udor;Беспроцентная рассрочка без параметров;0%;нет данных;нет данных;—;—;—;https://www.ingrad.ru/installment-plan;20.09.2026;20.09.2026
s051;gk-fsk;ФСК;;Все проекты (Режиссёр, Архитектор и др.);бизнес/премиум;subsid_ipoteka;«8% для всех» со Сбером, дальше от 17,7%;8% на 3 года;3 года, кредит от 20 лет;от 20,1%;любой;—;кредит до 100 млн, зарплатный клиент Сбера, ДДУ 01–30.09.2026;https://fsk.ru/promo/stavka-8-dlya-vseh;до 30.09.2026;20.09.2026
s052;gk-fsk;ФСК;;Все проекты;бизнес/премиум;ipoteka_krupnyi_chek;ФСК + Альфа-Банк, ставка на весь срок;12,39%;до 30 лет;от 20,1%;любой;—;кредит до 100 млн, ДДУ до 31.08.2026 — продление проверить · 24.09: срок акции истёк 31.08.2026, продление не подтверждено;https://fsk.ru/promo/ipoteka-ot-gk-fsk-i-al-fa-banka-so-stavkoj;до 31.08.2026;20.09.2026
s053;gk-fsk;ФСК;;Все проекты;бизнес/премиум;subsid_ipoteka;Субсидированная «от 0,01%», совмещается с семейной и IT;от 0,01%;нет данных;нет данных;—;—;банк и удорожание не раскрыты;https://fsk.ru/ipoteka/subsidirovannaya;20.09.2026;20.09.2026
s054;gk-fsk;ФСК;;Строящиеся проекты;бизнес/премиум;transh_ipoteka;Ипотека траншами со Сбером, сниженный платёж до ввода;от 18,7%;до ввода;нет данных;до ввода;—;только строящиеся;https://fsk.ru/promo;до 30.09.2026;20.09.2026
s055;gk-fsk;ФСК;;Строящиеся проекты;бизнес;drugoe;«Рассрочка траншами»: 70% при ДДУ, по остатку 0,0002% в месяц, 29,9998% за месяц до ввода;0%;до ввода;70%;до ввода;—;не суммируется;https://fsk.ru/promo/rassrochka-transhami;до 30.09.2026;20.09.2026
s056;gk-fsk;ФСК;;Sydney City, Sky Garden, Amber City, Симоновский Вал;бизнес;otsrochka_pv;«Купите сейчас — платите потом 2.0»: 30% при ДДУ, ~20% по графику, до 50% за 2 мес до ввода (можно ипотекой);0%;до ввода;от 30%;до ввода;—;не суммируется;https://fsk.ru/promo/predlozhenie-kupite-sejchas-platite-potom-2-0;до 30.09.2026;20.09.2026
s057;gk-fsk;ФСК;;Все проекты (в т.ч. Режиссёр);бизнес/премиум;rassrochka_bez_udor;«Платите как хотите»: индивидуальный график, скидка растёт с долей взноса;0%;до 3 лет;от 20%;до ввода;максимум при 100%;—;https://fsk.ru/rassrochka;до 30.09.2026;20.09.2026
s058;gk-fsk;ФСК;;Все проекты;бизнес/премиум;rassrochka_s_udor;Рассрочка со ставкой: 70% взнос и 11,9% на остаток или 80% взнос и 3,7% на остаток;11,9% или 3,7% годовых;нет данных;70% или 80%;—;—;—;https://fsk.ru/promo;до 30.09.2026;20.09.2026
s059;gk-fsk;ФСК;;Архитектор / Режиссёр;бизнес/премиум;skidka_100;Скидки по проектам, максимум при 100% оплате;—;до 30.09.2026;—;Архитектор строится, Режиссёр сдан;до 35% / 9%;ограниченный пул, +2–5% при повторной покупке;https://fsk.ru/promo;до 30.09.2026;20.09.2026
s060;gk-fsk;ФСК;;Все проекты;бизнес/премиум;trade_in;Встречная сделка до 90 дней, цена новой квартиры фиксируется;—;до 90 дней;—;—;—;—;https://t-j.ru/tradein-developers/;10.08.2026;20.09.2026
s061;afi-development;AFI Development;afi-tower;AFI Tower;бизнес;rassrochka_bez_udor;Беспроцентная рассрочка на готовые квартиры;0%;6 мес;нет данных;после ввода;—;—;https://afitower.ru/;20.09.2026;20.09.2026
s062;afi-development;AFI Development;afi-tower;AFI Tower;бизнес;skidka_100;До −25% на готовые квартиры (способ оплаты не уточнён), паркинг −30%;—;—;—;после ввода;до 25%;ограниченный пул;https://afitower.ru/;20.09.2026;20.09.2026
s063;gruppa-etalon;Эталон;shagal;Shagal;бизнес;rassrochka_bez_udor;20% взнос, дальше 50 тыс/мес, остаток до 30.03.2028;0%;до 30.03.2028;20%;до ввода;—;—;https://etalongroup.ru/msk/actions/rassrochka-0-shagal/;до 30.09.2026;20.09.2026
s064;gruppa-etalon;Эталон;shagal;Shagal;бизнес;skidka_100;Скидка только при 100% оплате, по лотам 25–33%;—;до 30.09.2026;100%;до ввода;до 30%;не суммируется;https://etalongroup.ru/msk/actions/skidki_do_25_msk/;до 30.09.2026;20.09.2026
s065;gruppa-etalon;Эталон;voxhall;Voxhall;бизнес;skidka_100;Скидка при единовременной оплате;—;до 30.09.2026;100%;—;до 30%;ограниченный пул;https://etalongroup.ru/msk/actions/skidki-do-20-voxhall/;19.09.2026;20.09.2026
s066;gruppa-etalon;Эталон;;Shagal, Voxhall и др.;бизнес;subsid_ipoteka;Спецставка на первый год на отдельные объекты;0,3% на 1-й год;1 год;нет данных;—;—;избранные объекты;https://www.etalongroup.ru/msk/mortgage/;до 30.09.2026;20.09.2026
s067;gruppa-etalon;Эталон;;Все проекты;бизнес;subsid_ipoteka;Ставка на весь срок;11%;весь срок;нет данных;—;—;—;https://www.etalongroup.ru/msk/mortgage/;до 30.09.2026;20.09.2026
s068;uez;УЭЗ · продаёт Центр-Инвест;will-towers;Will Towers;бизнес;subsid_ipoteka;Ипотека по ставке на весь срок;12,49%;весь срок;нет данных;сдан;—;условия у отдела продаж;https://willtowers.ru;нет данных;24.09.2026
s069;uez;УЭЗ · продаёт Центр-Инвест;will-towers;Will Towers;бизнес;rassrochka_bez_udor;Рассрочка 0% в сданном доме;0%;у отдела продаж;нет данных;сдан;—;условия у отдела продаж;https://willtowers.ru;нет данных;24.09.2026
s070;uez;УЭЗ · продаёт Центр-Инвест;will-towers;Will Towers;бизнес;skidka_100;Скидка на все лоты;—;—;—;сдан;до 12%;скидка уже в ценах ci.ru;https://ci.ru/choose;нет данных;24.09.2026
s071;rg-development;РГ-Девелопмент;petrovskiy-park-ii;Петровский парк II;бизнес;subsid_ipoteka;Ипотека Совкомбанка;12,49%;весь срок;нет данных;сдан;—;студии от 18,86 млн, без отделки (Новострой-М);https://pp2.rg-dev.ru;нет данных;24.09.2026
s072;rg-development;РГ-Девелопмент;petrovskiy-park-ii;Петровский парк II;бизнес;skidka_100;Скидка;—;—;—;сдан;до 8%;;https://pp2.rg-dev.ru;до 30.09.2026;24.09.2026
